global_env_steps,update_idx,phase,rl_variant,init_mode,steps_per_sec,elapsed_sec,eta_sec,mean_episode_return,mean_terminal_lambda2_norm,mean_init_edges,mean_init_lambda2,mean_init_build_runtime_sec,mean_init_cache_hit,policy_loss,value_loss,entropy,approx_kl,learning_rate,selector_loss,selector_recall_at_k,selector_k_mean,selector_learning_rate,best_eval_metric
6000,2,phase_a_12_16,full,path,48.65748485810863,123.3109359741211,24538.876258850098,2.440934790260293,0.3202250975366169,13.0,0.0,0.0,0.0,-0.002434552472550422,0.05265197131666355,3.8678003791719675,0.00027499065618030727,0.00029897435897435895,0.0,0.0,0.0,0.0,0.4716097578094408
26000,12,phase_a_12_16,full,path,89.67466369792383,289.93696689605713,13091.76919753735,2.5599556201330653,0.3617571900223534,12.985,0.0,0.0,0.0,-0.00067863804542867,0.005627470105537213,3.821603776887059,0.005817686476802919,0.0002938461538461538,0.0,0.0,0.0,0.0,0.5314473024531339
46000,22,phase_a_12_16,full,path,97.59199430150679,471.35013818740845,11824.740423223246,2.5096538943587245,0.34543861030445927,13.13,0.0,0.0,0.0,0.0017159856361104175,0.006509248284601199,3.879337066784501,0.0031717889942228794,0.0002887179487179487,0.0,0.0,0.0,0.0,0.5314473024531339
66000,32,phase_a_12_16,full,path,99.5550553863571,662.9497592449188,11390.682227026333,2.473832661970904,0.325340810961967,13.205,0.0,0.0,0.0,-0.0050599700152815785,0.004881672967712802,3.911661721765995,0.004721376069937833,0.00028358974358974354,0.0,0.0,0.0,0.0,0.5314473024531339
86000,41,phase_a_12_16,full,path,102.41508036007954,839.720085144043,10877.304358726324,2.5343705821619174,0.3407615764270039,13.07,0.0,0.0,0.0,-0.00543996763008181,0.0035735202400246635,3.7819495908915997,0.01426051387534244,0.00027897435897435895,0.0,0.0,0.0,0.0,0.5314473024531339
106000,51,phase_a_12_16,full,path,103.18333886936993,1027.2976350784302,10602.486912979271,2.4469813083043235,0.33566285323968825,12.94,0.0,0.0,0.0,-0.004008880496257916,0.0033714485944074113,3.7314418647438288,0.013456286069413181,0.0002738461538461538,0.0,0.0,0.0,0.0,0.5314473024531339
126000,61,phase_a_12_16,full,path,103.8424559711488,1213.3765406608582,10342.590513252077,2.5455234420003006,0.345293705609556,13.025,0.0,0.0,0.0,-0.0009251333758584224,0.0023640282552150893,3.72805711068213,0.011834207725769375,0.0002687179487179487,0.0,0.0,0.0,0.0,0.5314473024531339
146000,71,phase_a_12_16,full,path,104.66932669383135,1394.8690090179443,10069.807777430913,2.424348114792854,0.319105227538578,13.145,0.0,0.0,0.0,-0.002577263890998438,0.001896922007745161,3.825199918821454,0.015723362397693563,0.00026358974358974354,0.0,0.0,0.0,0.0,0.5314473024531339
166000,81,phase_a_12_16,full,path,105.34696221468346,1575.7454843521118,9815.18572783183,2.6231959572255783,0.3659519268374878,13.15,0.0,0.0,0.0,-0.009378738177474588,0.0019411927496548742,3.844760799780488,0.016490609232278075,0.00025846153846153846,0.0,0.0,0.0,0.0,0.5314473024531339
186000,90,phase_a_12_16,full,path,107.21156250017972,1734.8875033855438,9457.935099101836,2.5248222695352975,0.3429047868249354,12.985,0.0,0.0,0.0,-0.006473845198343042,0.0017738265141815646,3.8424901347607374,0.005762800254160538,0.0002538461538461538,0.0,0.0,0.0,0.0,0.5451143361483942
206000,100,phase_a_12_16,full,path,108.06839702200527,1906.200199842453,9197.878634191255,2.575792653690034,0.3769705069730155,12.975,0.0,0.0,0.0,-0.007228352886158973,0.0013699580058528227,3.8406131211668253,0.009364891549921595,0.0002487179487179487,0.0,0.0,0.0,0.0,0.5451143361483942
226000,110,phase_a_12_16,full,path,108.86620325889379,2075.942700624466,8946.761904461193,2.5344103603495487,0.3517380009381162,13.19,0.0,0.0,0.0,-0.001345526980003342,0.00115181540309095,3.8242261298000813,0.015257761609973386,0.00024358974358974357,0.0,0.0,0.0,0.0,0.5595755404242557
246000,120,phase_a_12_16,full,path,109.68880850123023,2242.708288669586,8697.33214386498,2.492509254839508,0.357405561056514,13.035,0.0,0.0,0.0,-0.009636540482460987,0.0016528563687643327,3.7594045605510473,0.01285340501635801,0.00023846153846153847,0.0,0.0,0.0,0.0,0.582117388566853
