n,density,rho,m,density_actual,rho_actual,rho_conn,rho_conn_actual,m_max,m_actual,repeat_idx,method,method_label,warm_start_mode,completion_method,init_edges,residual_budget,lambda2,runtime_init_s,runtime_complete_s,runtime_lambda2_s,runtime_total_s
8,0.7857142857142857,0.7857142857142857,22,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.7142857142857143,28,22,1,path_mac,MAC,path,mac,7,15,4.381966011250102,4.377041477710009e-06,0.0030279369675554335,2.638896694406867e-05,0.003058702975977212
8,0.8214285714285714,0.8214285714285714,23,0.8214285714285714,0.8214285714285714,0.7619047619047619,0.7619047619047619,28,23,1,path_mac,MAC,path,mac,7,16,4.585786437626906,4.348985385149717e-06,0.003026230027899146,2.6129011530429125e-05,0.003056708024814725
8,0.8571428571428571,0.8571428571428571,24,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095,28,24,1,path_mac,MAC,path,mac,7,17,4.999999999999999,4.43699536845088e-06,0.0029892949969507754,2.6152993086725473e-05,0.0030198849854059517
8,0.8928571428571429,0.8928571428571429,25,0.8928571428571429,0.8928571428571429,0.8571428571428571,0.8571428571428571,28,25,1,path_mac,MAC,path,mac,7,18,4.585786437626904,4.428031388670206e-06,0.0030039490084163845,2.5129003915935755e-05,0.0030335060437209904
8,0.9285714285714286,0.9285714285714286,26,0.9285714285714286,0.9285714285714286,0.9047619047619048,0.9047619047619048,28,26,1,path_mac,MAC,path,mac,7,19,6.0,4.4130138121545315e-06,0.002999491000082344,2.545997267588973e-05,0.003029363986570388
8,0.9642857142857143,0.9642857142857143,27,0.9642857142857143,0.9642857142857143,0.9523809523809523,0.9523809523809523,28,27,1,path_mac,MAC,path,mac,7,20,6.0,4.4120242819190025e-06,0.003014448971953243,2.5008979719132185e-05,0.003043869975954294
8,0.2857142857142857,0.2857142857142857,8,0.2857142857142857,0.2857142857142857,0.047619047619047616,0.047619047619047616,28,8,2,path_mac,MAC,path,mac,7,1,0.3376036697878202,4.454050213098526e-06,0.003022456949111074,2.744601806625724e-05,0.00305435701739043
8,0.32142857142857145,0.32142857142857145,9,0.32142857142857145,0.32142857142857145,0.09523809523809523,0.09523809523809523,28,9,2,path_mac,MAC,path,mac,7,2,0.5857864376269046,4.473957233130932e-06,0.003008360043168068,2.6106019504368305e-05,0.003038940019905567
8,0.35714285714285715,0.35714285714285715,10,0.35714285714285715,0.35714285714285715,0.14285714285714285,0.14285714285714285,28,10,2,path_mac,MAC,path,mac,7,3,0.9160318901727007,4.414992872625589e-06,0.0030042179860174656,2.649001544341445e-05,0.0030351229943335056
8,0.39285714285714285,0.39285714285714285,11,0.39285714285714285,0.39285714285714285,0.19047619047619047,0.19047619047619047,28,11,2,path_mac,MAC,path,mac,7,4,1.2679491924311233,4.403991624712944e-06,0.0030071400105953217,2.565101021900773e-05,0.0030371950124390423
8,0.42857142857142855,0.42857142857142855,12,0.42857142857142855,0.42857142857142855,0.23809523809523808,0.23809523809523808,28,12,2,path_mac,MAC,path,mac,7,5,1.3344199306231965,4.416971933096647e-06,0.0029900409863330424,2.6834022719413042e-05,0.003021291980985552
8,0.4642857142857143,0.4642857142857143,13,0.4642857142857143,0.4642857142857143,0.2857142857142857,0.2857142857142857,28,13,2,path_mac,MAC,path,mac,7,6,1.5857864376269037,4.285015165805817e-06,0.0030023909639567137,2.932100323960185e-05,0.0030359969823621213
8,0.5,0.5,14,0.5,0.5,0.3333333333333333,0.3333333333333333,28,14,2,path_mac,MAC,path,mac,7,7,1.4384471871911706,4.377041477710009e-06,0.0030120209557935596,2.631999086588621e-05,0.0030427179881371558
8,0.5357142857142857,0.5357142857142857,15,0.5357142857142857,0.5357142857142857,0.38095238095238093,0.38095238095238093,28,15,2,path_mac,MAC,path,mac,7,8,2.000000000000001,4.414992872625589e-06,0.0030278419726528227,2.6146008167415857e-05,0.003058402973692864
8,0.5714285714285714,0.5714285714285714,16,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855,28,16,2,path_mac,MAC,path,mac,7,9,2.1300649496364987,4.310975782573223e-06,0.0030244910158216953,2.6033027097582817e-05,0.0030548350187018514
8,0.6071428571428571,0.6071428571428571,17,0.6071428571428571,0.6071428571428571,0.47619047619047616,0.47619047619047616,28,17,2,path_mac,MAC,path,mac,7,10,2.585786437626904,4.375004209578037e-06,0.0030294739990495145,2.657598815858364e-05,0.003060424991417676
